id,text,classification,rationale,query
0,What group of old testimant believers gather in a place called a temple to worship ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",middle east [SEP] abrahamic [SEP] city [SEP] jerusalem [SEP] jewish community
1,"The star had 4 rocky planets and 4 gaseous planets orbiting it , what was it part of",E,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",hollywood [SEP] night sky [SEP] constellation [SEP] aliens [SEP] solar system
2,Seeing someone open a gift after buying christmas presents causes what for the gift giver ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",stress [SEP] understand themselves [SEP] pleasure [SEP] sense of joy [SEP] debt
3,"The teen was required to go to school , which made him a what ?",A,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",student [SEP] register [SEP] old enough [SEP] put on shoes [SEP] grouchy
4,If a person is n't thick they are what ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",sparse [SEP] slender [SEP] unacquainted [SEP] skinny [SEP] free flowing
5,What is likely the result of remembering a deceased friend ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",problems [SEP] inspiration [SEP] crying [SEP] knowledge [SEP] trauma
6,Linda wanted to talk to someone because she knew that she was doing bad stuff and that talking was the first step to doing what ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",communicating with others [SEP] hurt feelings [SEP] changing behavior [SEP] dry mouth [SEP] communication
7,Bald eagles can be spotted more often in the northern versus the southern reaches of what range ?,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",on the moon [SEP] rocky mountains [SEP] chemotherapy [SEP] utah [SEP] british columbia
8,What drinking vessel can overflow if filled with too much water ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",riverbed [SEP] sewer [SEP] drain [SEP] creek [SEP] glass
9,"His studying was going nowhere , he returned the dictionary to under the wobbly leg of the what ?",C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",chair [SEP] library [SEP] table [SEP] classroom [SEP] shelf
